date, country, totalcases, newcases, totaldeath, newdeath, totalrecovered, activecases, seriouscases, totaltests,death/case,totaltest/totalcases,trec/tcases
4/10/2020,Bosnia and Herzegovina,858,54,35,1,101,722,4,6911,4.10%,12.40%,12%
4/10/2020,Cameroon,803,73,12,2,61,730,,,1.50%,,8%
4/10/2020,Kazakhstan,781,54,8,1,60,713,21,59371,1.00%,1.30%,8%
4/10/2020,Diamond Princess,712,,11,,619,82,10,,1.50%,,87%
4/10/2020,Slovakia,701,19,2,,23,676,5,21371,0.30%,3.30%,3%
4/10/2020,North Macedonia,663,46,30,1,37,596,15,6571,4.50%,10.10%,6%
4/10/2020,Tunisia,643,15,25,1,25,593,78,9570,3.90%,6.70%,4%
4/10/2020,Bulgaria,618,25,24,,48,546,32,15899,3.90%,3.90%,8%
4/10/2020,Latvia,589,12,3,1,16,570,3,25458,0.50%,2.30%,3%
4/10/2020,Andorra,583,19,25,2,58,500,17,1673,4.30%,34.80%,10%
4/10/2020,Lebanon,582,6,19,,67,496,29,12524,3.30%,4.60%,12%
4/10/2020,Uzbekistan,582,37,3,,38,541,8,70000,0.50%,0.80%,7%
4/10/2020,Cyprus,564,38,10,1,53,501,13,14273,1.80%,4.00%,9%
4/10/2020,Costa Rica,539,37,3,,30,506,13,6298,0.60%,8.60%,6%
4/10/2020,Cuba,515,58,15,3,28,472,15,9410,2.90%,5.50%,5%
4/10/2020,Afghanistan,484,40,15,1,32,437,,,3.10%,,7%
4/10/2020,Oman,457,38,3,1,109,345,3,,0.70%,,24%
4/10/2020,Uruguay,456,,7,,192,257,14,6175,1.50%,7.40%,42%
4/10/2020,Ivory Coast,444,60,3,,52,389,,,0.70%,,12%
4/10/2020,Burkina Faso,443,29,24,1,146,273,,,5.40%,,33%
4/10/2020,Niger,410,68,11,,40,359,,4251,2.70%,9.60%,10%
4/10/2020,Albania,409,9,23,1,165,221,7,3223,5.60%,12.70%,40%
4/10/2020,Taiwan,380,1,5,,80,295,,42315,1.30%,0.90%,21%
4/10/2020,Ghana,378,65,6,,3,369,2,12046,1.60%,3.10%,1%
4/10/2020,Jordan,372,14,7,1,161,204,5,17000,1.90%,2.20%,43%
4/10/2020,Réunion,362,, ,,40,322,4,,,,11%
4/10/2020,Channel Islands,361,10,8,,40,313,,1157,2.20%,31.20%,11%
4/10/2020,Honduras,343,31,23,1,6,314,10,,6.70%,,2%
4/10/2020,Malta,337,38,2,1,16,319,4,13732,0.60%,2.50%,5%
4/10/2020,San Marino,333,25,34,,49,250,14,846,10.20%,39.40%,15%
4/10/2020,Bangladesh,330,112,21,1,33,276,1,6175,6.40%,5.30%,10%
4/10/2020,Mauritius,314,41,7,,23,284,3,6730,2.20%,4.70%,7%
4/10/2020,Nigeria,288,12,7,1,51,230,2,5000,2.40%,5.80%,18%
4/10/2020,Kyrgyzstan,280,10,4,,35,241,5,9618,1.40%,2.90%,13%
4/10/2020,Bolivia,264,54,18,3,2,244,3,591,6.80%,44.70%,1%
4/10/2020,Palestine,263,,1,,44,218,,16068,0.40%,1.60%,17%
4/10/2020,Vietnam,255,4, ,,128,127,8,114241,,0.20%,50%
4/10/2020,Montenegro,252,4,2,,4,246,7,2329,0.80%,10.80%,2%
4/10/2020,Senegal,250,6,2,,123,125,1,,0.80%,,49%
4/10/2020,Georgia,218,7,3,,51,164,6,3271,1.40%,6.70%,23%
4/10/2020,Guinea,194,30, ,,11,183,,,,,6%
4/10/2020,Sri Lanka,190,1,7,,49,134,5,3248,3.70%,5.80%,26%
4/10/2020,Isle of Man,190,32,1,,92,97,12,1879,0.50%,10.10%,48%
4/10/2020,Kenya,184,5,7,1,12,165,2,5278,3.80%,3.50%,7%
4/10/2020,Mayotte,184,,2,,26,156,4,1100,1.10%,16.70%,14%
